<  File:  ENAmTrees.txt  Species:  148 Sites:   37 MatFill: 0.09 Occ:    520 5.000% Confidence limit  Index: c Model: fixed - fixed                      
 
#    No             Sp1                Sp2     S1  S2 Com  Obs.Score  Exp.Score  Exp.StDev   Skewness    LowerCL    UpperCL SigZ-Score      Alpha >MeanScore   >CLScore   >BJScore      Alpha
# 10119 "Ilex_monticola"   "Rhododendron_maxi   1   1   1      0.000      0.990      0.099    -10.152      1.000      1.000      -9.95 0.00000000       0.00       0.00      -9.95 0.00000000
# 10192 "Aesculus_octandra "Cornus_alternifol   1   1   1      0.000      0.990      0.099    -10.152      1.000      1.000      -9.95 0.00000000       0.00       0.00      -9.95 0.00000000
# 10204 "Aesculus_octandra "Tilia_noglecta"     1   1   1      0.000      0.980      0.140     -7.068      1.000      1.000      -7.00 0.00000000       0.00       0.00      -7.00 0.00000000
# 10216 "Quercus_geminata" "Quercus_laevis"     1   1   1      0.000      0.980      0.140     -7.068      1.000      1.000      -7.00 0.00000000       0.00       0.00      -7.00 0.00000000
# 10352 "Quercus_laevis"   "Carya_floridana"    1   1   1      0.000      0.980      0.140     -7.068      1.000      1.000      -7.00 0.00000000       0.00       0.00      -7.00 0.00000000
# 10417 "Carya_floridana"  "Quercus_myrtifoli   1   1   1      0.000      0.990      0.099    -10.152      1.000      1.000      -9.95 0.00000000       0.00       0.00      -9.95 0.00000000
# 10453 "Kalmia_latifolia" "Rhododendron_cale   1   1   1      0.000      0.980      0.140     -7.068      1.000      1.000      -7.00 0.00000000       0.00       0.00      -7.00 0.00000000
# 10617 "Ceris_canadensis" "Tilia_noglecta"     1   1   1      0.000      1.000      0.000      0.000      1.000      1.000      -1.00 0.31722987       0.00       0.00       0.00 1.00000000
# 10680 "Cornus_alternifol "Tilia_noglecta"     1   1   1      0.000      0.980      0.140     -7.068      1.000      1.000      -7.00 0.00000000       0.00       0.00      -7.00 0.00000000
# 10685 "Cornus_alternifol "Fargus_grandifoli   1   1   1      0.000      0.980      0.140     -7.068      1.000      1.000      -7.00 0.00000000       0.00       0.00      -7.00 0.00000000
# 10771 "Magnolia_macrophy "Frangula_carolini   1   1   1      0.000      0.980      0.140     -7.068      1.000      1.000      -7.00 0.00000000       0.00       0.00      -7.00 0.00000000
# 10847 "Tilia_noglecta"   "Fargus_grandifoli   1   1   1      0.000      0.990      0.099    -10.152      1.000      1.000      -9.95 0.00000000       0.00       0.00      -9.95 0.00000000
 
> Name               SP   CL+   CL-   BM+   BM-   BC+   BC-   BY+   BY-       NR   CL+   CL+
> ENAmTrees.txt   10878     7   134     7    42     7    35     6    36  1087800 32634 32634
 
& File           Speci   Individ     BRInd       BRZ Cscoreind   CscoreZ Soeren.In  Soeren.Z    AbsInd      AbsZ CheckerIn  CheckerZ   CombInd     CombZ   CorrInd     CorrZ    SchInd      SchZ
& ENAmTrees.txt    148  29790.00    0.5808   -0.7661   -0.0045   -0.6260   -0.0512   -2.2326   -0.0009   -1.5697    0.0542   10.4508    0.1993    1.2273   -0.0075   -0.1938   -0.0061   -2.9464
 
%          Observed numbers                                          Expected numbers
% Class    Pairs   CL+   CL-   BM+   BM-   BC+   BC-   BY+   BY-       NR   CL+   CL-
% 0.000     1296     0    74     0     0     0     0     0    35   133658  4096  4031
% 0.025       12     0    11     0    11     0     9     0     0       38     3     2
% 0.075       34     0    26     0    21     0    18     0     1      467    11    17
% 0.125       67     0    19     0    10     0     8     0     0     2156    74    66
% 0.175       80     0     4     0     0     0     0     0     0     4677   135   128
% 0.225       76     0     0     0     0     0     0     0     0     6495   185   174
% 0.275      119     0     0     0     0     0     0     0     0    16172   463   475
% 0.325      100     0     0     0     0     0     0     0     0    13532   364   407
% 0.375       85     0     0     0     0     0     0     0     0    12349   370   351
